text,from,from_id
очный,милана🦦,user594659197
зум,добряк,user1131995264
время первый вариант вечер,sandrolek,user892025888
смочь сначала дистанционно проводить затем желающий повтор очно поздно сообщать дополнительно плюс запись сделать,Galina,user6222538500
любой поздно опрос время добавлять,Galina,user6222538500
благодарить,sandrolek,user892025888
думать день определяться,Galina,user6222538500
также проводить дополнительный очный занятие желать неделя понедельник пара аудитория сообщать близко конец неделя запись лекция также доступный пятница выкладывать ссылка спасибо большой понимание,Galina,user6222538500
видеть популярный вариант волноваться расхождение небольшой проводить лекция вечер свободный,Galina,user6222538500
делать лекция ссылка выкладывать ссылка выкладывать лекция идентичный выбирать удобный время,Galina,user6222538500
правильно понимать это прямой лекциялекция собственно множество ознакомительный встреча дисциплина целое,женьккк,user1313997817
балл сказать лекция тема булев алгебра четверг проводить подходить дистанционный формат продублировать очно неделя,Galina,user6222538500
спасибо,женьккк,user1313997817
ссылка находить,Andrew Vabishchevich,user731843095
добрый день размещать ссылка конференция,Galina,user6222538500
подключаться прима начинать,Galina,user6222538500
здравствовать состояться лекция,Viktoria Skoblilova,user844216932
понимать спасибо,Viktoria Skoblilova,user844216932
запись,Ruslan Kamalov,user481612130
запись выкладывать поздно записывать отдельно выходной,Galina,user6222538500
пускать пожалуйста,Николай Новиков,user381124323
пустити лекция пожалуйста,INON/Boiko Maxym,user354642576
перерыв должный мина сразу начинать заново платный лицензия кончаться оплачивать новый,Galina,user6222538500
попить чай,Galina,user6222538500
лекция план правило,Galina,user6222538500
лекция,Galina,user6222538500
впускать пожалуйста,Tanya Tsvetkova,user466944765
впускать,nadya,user765380116
подсказывать пожалуйста разбор дз сидеть множество тупо втыкать,женьккк,user1313997817
просто инф множество практика это вроде требоваться решение вщ никак идти,женьккк,user1313997817
получаться,Galina,user6222538500
разбираться расписание корпус тд назначать время дополнительный консультация вопрос лекция практик весь желающий возможность разбираться,Galina,user6222538500
лекция ссылка присылать пара минута начало опытный путь выяснять сразу начинать минута нужно ждать минута планировать укладываться формат перерыв минута,Galina,user6222538500
несколько минута подключение,Galina,user6222538500
впускать пожалуйста,Коваленко Иван,user573388274
впускать,женьккк,user1313997817
лекция час,Dieuvina Kilebe,user5971194054
щас,Nikita Miliutin,user416281316
код доступ конф,женьккк,user1313997817
урок,Dieuvina Kilebe,user5971194054
переходить ссылка,Nikita Miliutin,user416281316
нич,Nikita Miliutin,user416281316
запись вроде,bocharnikoff,user939466119
впускать,Егор Макаров,user406042993
переходить просить,женьккк,user1313997817
попробовать зайти аккаунт zoom,Michael Rumyantsev,user304635489
впускать пожалуйста,Егор Макаров,user406042993
боже аккаунт создавать,женьккк,user1313997817
тольйо создавать лекция заканчиваться,женьккк,user1313997817
браузер ока,nadya,user765380116
ладно поставлять зум обновляться,женьккк,user1313997817
впускать,Nikita Miliutin,user416281316
получаться выражение x верно подставлять соответствующий значение x y,Кирилл Кошкарёв,user565289812
это вечер описка совершать спасибо замечать выражение операция эквивалентность х эквивалентный,Galina,user6222538500
спасибо,Кирилл Кошкарёв,user565289812
спасибо внимательно следить замечать неточность,Galina,user6222538500
спасибо лекция прекрасный преподаватель,Сережа Хахххахаха,user691238404
очень приятно слышать,Galina,user6222538500
это правда,bocharnikoff,user939466119
поддерживать,Viktoria Skoblilova,user844216932
запись занятие,Igor Yakovlev,user1048905292
думать скидывать группа рано воскресение,Дмитрий Сомов,user5795254391
запись выкладывать поздно записывать отдельно выходной,Viktoria Skoblilova,user844216932
говорить вчерашний занятие записывать помарка описка всякий,женьккк,user1313997817
понимать,Igor Yakovlev,user1048905292
спасибо,Igor Yakovlev,user1048905292
здравствовать сегодня запись лекция,Danil Rozhin,user1232626150
добрый день лекция процесс запись,Galina,user6222538500
спасибо большой,Danil Rozhin,user1232626150
запись лекция,Galina,user6222538500
спасибо,INON/Boiko Maxym,user354642576
спасибо,Александр Забродский,user979427175
спасибо,sasha,user865219516
беседа практика,Michael Rumyantsev,user304635489
пока завтра создавать,Galina,user6222538500
здравствовать сегодня состояться допы лекция пара,Anton Dementev,user1124096872
скидывать пж ссылка беседа практика,женьккк,user1313997817
добрый день смочь аудитория забронировать сегодня,Galina,user6222538500
добрый день лекция,vera kizimova,user459119493
канал поток практика проходить,,
аудитория пара,Дмитрий,user1048874521
знать это пугаться знать скачивать,Galina,user6222538500
galina,Сережа Хахххахаха,user691238404
скидывать презентация,,
опечатка поправлять который находиться,Galina,user6222538500
спасибо ждать,Сережа Хахххахаха,user691238404
galina,Андрей Маракулин,user1020340980
извиняться пинговать вс мочь узнавать презентация,,
просить прощение забывать ловить,Galina,user6222538500
спасибо,Сережа Хахххахаха,user691238404
спасибо большой,Андрей Маракулин,user1020340980
план лекционный курс,Galina,user6222538500
это конспект сегодняшний лекция,Galina,user6222538500
список коллоквиум,Galina,user6222538500
коллоквиум организовывать консультация дистанционно обсуждать разбирать укладываться время занятие,Galina,user6222538500
точный дата проведение,nirolok,user630463340
коллоквиум,женьккк,user1313997817
успевать,женьккк,user1313997817
надеяться завтра следующий понедельник,женьккк,user1313997817
вроде,Ксения,user1584328410
коллоквиум пока идея это назначаться дополнительный время лекционный,Galina,user6222538500
возможно путать,Ксения,user1584328410
это кр,Ксения,user1584328410
чиво,женьккк,user1313997817
кр,женьккк,user1313997817
блен,женьккк,user1313997817
угу,Maxim Nikiforov🦋,user536036487
группа который практика лекция,Ксения,user1584328410
это кр практика коллоквиум проводить отдельно нужно назначать время информация начало следующий неделя,Galina,user6222538500
просто рано выкладывать тема,Galina,user6222538500
спасибо,Ксения,user1584328410
хороший подарок др,CRIED BUN,user1378233473
знать страшно сообщение получать,Ксения,user1584328410
коллка,Ксения,user1584328410
консультация весь пробежаться,Galina,user6222538500
вроде маленький пара несколько брать,Егор Шарыпов,user1496699521
ребята вопрос тема беседа линал тушавин u милюшин,Ксения,user1584328410
коллоквиум вопрос теория практический задача практический задача аналог контрольный,Galina,user6222538500
скажем коллоквиум мочь кр,Тимофей Журавлев,user305264103
плюс получение билет коллоквиум входной тест элементарный вопрос тип построить таблица истинность стрелка пирс коллоквиум кр,Galina,user6222538500
совмещать хороший плохой новость сообщение,женьккк,user1313997817
смиряться подготавливаться,Тимофей Журавлев,user305264103
коллоквиум нужно весь выходной проводить консультация готовый мало заинтересовывать положительный результат,Galina,user6222538500
мочь практика,Galina,user6222538500
задача следующий понедельник разбирать тема лекция практика выявлять непонятный разбирать это консультация сдавать коллоквиум кр максимум балл,Galina,user6222538500
халява прийти,женьккк,user1313997817
хахах,Ксения,user1584328410
ладно целое класс информатика пропускать сдавать максимум,женьккк,user1313997817
каверзный вопрос напридумывать,Galina,user6222538500
это школа преподавать,Даниил Федоров,user435321224
хах шутка шутка,Ксения,user1584328410
школа город реж свердловский область,женьккк,user1313997817
любой казаться,женьккк,user1313997817
вика,Диана Клапнева,user1858713756
фгос африка фгос,женьккк,user1313997817
вообще,Даниил Федоров,user435321224
ладно видимо школа город реж свердловский область очень крутой,женьккк,user1313997817
регион максимально плохо,Danila🦖 Mustafin,user745381881
вика делать,женьккк,user1313997817
регион,женьккк,user1313997817
класс стоить перерабатывать вопросик хм,Galina,user6222538500
самый неприличный место регион,женьккк,user1313997817
спамить неинтересный никто кроме,sandrolek,user892025888
информатика приходить сисадмин играть кс,Danila🦖 Mustafin,user745381881
заюша,женьккк,user1313997817
класс,Danila🦖 Mustafin,user745381881
делать таблица эксел,Danila🦖 Mustafin,user745381881
нинад,Даниил Федоров,user435321224
полностью удовлетворять,женьккк,user1313997817
